,Unnamed: 0,area,circumferfence,short dia,long dia,png_name,Count,aspect,labels
63,63,351.3383646438484,133.94491050632004,19.18310801188151,23.334510803222656,reshape-2n1095,3,0.17790828470112205,2
64,64,261.9505238234886,116.23862139855532,16.0921147664388,20.744021733601887,reshape-2n1096,3,0.2242528969022321,2
65,65,296.21446504823194,123.1371766205264,17.52811336517334,21.54958438873291,reshape-2n1097,2,0.18661478342302396,2
66,66,274.51930606526724,118.67727338746924,16.672744274139404,20.95778687795003,reshape-2n1098,6,0.2044606440921001,2
67,67,340.2068875085174,134.7509828502877,17.214035034179688,25.253284454345703,reshape-2n1099,2,0.31834470619850735,2
68,68,305.21761297500086,125.87230237442358,17.017454147338867,22.83626747131348,reshape-2n109,1,0.25480579658142927,2
69,69,197.78014567626164,100.17543996014004,14.332760492960611,17.460408846537273,reshape-2n10,3,0.17912801361446545,2
70,70,319.9719416900086,131.00503524295178,16.366891860961914,24.89177131652832,reshape-2n1100,1,0.34247781514471104,2
71,71,316.5353607051279,129.60066884956086,16.56493091583252,24.30393409729004,reshape-2n1101,2,0.31842594497161847,2
72,72,400.1785351658143,143.68745369293168,19.866698265075684,25.67342185974121,reshape-2n1102,2,0.22617645697518482,2
73,73,381.5347396925527,141.5409928210804,18.565444946289062,26.165000915527344,reshape-2n1103,2,0.290447380215011,2
74,74,405.6981334510366,145.42550045560398,19.37785053253174,26.617329597473145,reshape-2n1104,2,0.27198367283353136,2
75,75,423.9008000783297,148.0768017171312,20.224109649658203,26.687318801879883,reshape-2n1105,1,0.24218278352362638,2
76,76,353.7860230885654,135.85787357218862,18.11131191253662,24.858959197998047,reshape-2n1106,2,0.2714372404619752,2
77,77,221.22877547192607,104.39824135138171,14.49294662475586,18.59615580240885,reshape-2n1107,3,0.22064824694152546,2
78,78,287.25560288657715,125.2642499896145,15.332421938578287,23.98148536682129,reshape-2n1108,3,0.360655868306185,2
79,79,379.1377965645003,139.7425013015661,19.32387065887451,24.97637367248535,reshape-2n1109,2,0.22631399929116972,2
80,80,292.7776676369448,122.69311924368984,17.069684982299805,21.83848762512207,reshape-2n110,1,0.21836689081603056,2
81,81,359.61218951604377,136.07660223363132,18.898218790690105,24.22901089986165,reshape-2n1110,3,0.22001690994335982,2
82,82,212.1924291677417,106.04752848817137,13.60335111618042,19.858642578125,reshape-2n111,2,0.3149908880899546,2
83,83,270.6920697171633,117.3765292076518,16.856839179992676,20.41969490051269,reshape-2n112,2,0.17448133960270684,2
84,84,244.6797838075986,111.5338247764562,16.282654762268066,19.15230369567871,reshape-2n113,2,0.1498330947027598,2
85,85,291.61478165596736,122.2419475824247,17.299829483032227,21.486916542053223,reshape-2n114,2,0.19486681817869114,2
86,86,226.4627393797607,105.71294019555488,14.862101395924888,18.637640635172527,reshape-2n115,6,0.20257602950678896,2
87,87,174.8038295527641,92.23897010768758,14.25341796875,15.09682846069336,reshape-2n116,3,0.05586673347579546,2
